"Price","Name","Item Level","Owned?","Available"
59799,"Potion of the Jade Serpent",90,"",2331
100,"Crystal Vial",1,"",907
17475,"Green Tea Leaf",85,"",5386
29900,"Silkweed",86,"",2221
68777,"Virmen's Bite",90,"",2110
19200,"Snow Lily",87,"",1443
775992,"Flask of the Warm Sun",90,"",864
799900,"Golden Lotus",90,"",877
739999,"Flask of Spring Blossoms",90,"",621
1899183,"Greater Crane Wing Inscription",90,"",86
499995,"Starlight Ink",86,"",2228
49993,"Ink of Dreams",86,"",9862
2200,"Light Parchment",1,"",619
1648882,"Greater Tiger Claw Inscription",90,"",57
3699525,"Greater Cerulean Spellthread",90,"",167
88500,"Bolt of Windwool Cloth",90,"",784
70000,"Windwool Cloth",86,"",69
3919895,"Greater Pearlescent Spellthread",90,"",47
504081,"Glyph of Unstable Affliction",25,"",76
82288,"Ink of the Sea",70,"",186
449989,"Glyph of Arcane Power",25,"",42
130000,"Ethereal Ink",60,"",183
146231,"Glyph of Animal Bond",25,"",38
190598,"Glyph of Deterrence",25,"",32
38400,"Celestial Ink",40,"",110
200000,"Glyph of Spinning Crane Kick",25,"",53
146932,"Glyph of Touch of Karma",25,"",44
234895,"Glyph of Zen Meditation",25,"",43
15500,"Jadefire Ink",30,"",492
366417,"Glyph of Penance",25,"",29
146933,"Glyph of Holy Fire",25,"",23
29700,"Midnight Ink",10,"",287
145397,"Glyph of Smite",25,"",27
145100,"Glyph of Savagery",25,"",22
29999,"Lion's Ink",20,"",183
19998,"Glyph of Shred",25,"",28
142200,"Glyph of Siphon Life",25,"",34
36692,"Glyph of Soulstone",25,"",49
364578,"Glyph of Rapid Displacement",25,"",36
146832,"Glyph of Arcane Explosion",25,"",20
147799,"Glyph of Cone of Cold",25,"",32
146333,"Glyph of Pathfinding",25,"",25
457970,"Glyph of Liberation",25,"",44
374055,"Glyph of Touch of Death",25,"",52
264883,"Glyph of Prayer of Mending",25,"",13
225300,"Glyph of Dash",25,"",26
49590,"Glyph of Healing Touch",25,"",21
96200,"Glyph of Rebirth",25,"",31
99998,"Cerulean Spellthread",90,"",147
55000,"Pearlescent Spellthread",90,"",48
49265,"Potion of Mogu Power",90,"",1976
29400,"Fool's Cap",88,"",3390
849999,"Flask of Winter's Bite",90,"",1663
1589086,"Greater Tiger Fang Inscription",90,"",61
649999,"Flask of the Earth",90,"",175
18993,"Rain Poppy",85,"",381
39898,"Potion of the Mountains",90,"",702
1499899,"Greater Ox Horn Inscription",90,"",87
4680000,"Living Steel",88,"",1243
730000,"Trillium Bar",90,"",2090
84000,"Ghost Iron Bar",86,"",2294
3897500,"Primal Diamond",90,"",961
650000,"Wild Jade",90,"",116
810000,"Vermilion Onyx",90,"",28
600000,"Imperial Amethyst",90,"",11
559999,"Primordial Ruby",90,"",683
68588,"Pandarian Garnet",87,"",1223
229999,"Tiger Opal",87,"",261
27797,"Roguestone",87,"",346
69900,"River's Heart",90,"",43
8600,"Lapis Lazuli",87,"",849
719999,"Sun's Radiance",90,"",289
80282,"Sunstone",87,"",582
20899,"Alexandrite",87,"",553
899400,"Great Pandaren Banquet",90,"",220
1241476,"100 Year Soy Sauce",85,"",422
74500,"Jewel Danio",87,"",4074
43318,"Raw Tiger Steak",85,"",5128
32100,"Pink Turnip",85,"",1611
389000,"Black Pepper Ribs and Shrimp",90,"",1869
1290000,"Black Pepper",85,"",203
68800,"Giant Mantis Shrimp",87,"",1475
67900,"Mushan Ribs",85,"",994
47299,"Green Cabbage",85,"",5334
199994,"Chun Tian Spring Rolls",90,"",789
387991,"Mogu Fish Stew",90,"",1943
125000,"Emperor Salmon",87,"",3958
98299,"Raw Crocolisk Belly",85,"",3921
33799,"Mogu Pumpkin",85,"",3835
64895,"Steamed Crab Surprise",90,"",132
349498,"Sea Mist Rice Noodles",90,"",2784
1149888,"Rice Flour",85,"",276
110000,"Tiger Gourami",87,"",1564
50000,"Raw Turtle Meat",85,"",4187
33229,"Scallions",85,"",4463
70000,"Mad Brewer's Breakfast",90,"",267
589992,"Pandaren Banquet",90,"",643
170000,"Raw Crab Meat",85,"",132
14300,"White Turnip",85,"",1644
100000,"Redbelly Mandarin",87,"",1669
19299,"Red Blossom Leek",85,"",1107
399909766,"Vial of the Sands",85,"",6
4610000,"Truegold",85,"",224
68800,"Pyrium Bar",85,"",1989
64100,"Volatile Fire",83,"",2113
38759,"Volatile Air",83,"",2346
54330,"Volatile Water",83,"",1821
1650000,"Flask of the Winds",85,"",2
480000,"Whiptail",84,"",100
220000,"Azshara's Veil",82,"",104
24599,"Volatile Life",83,"",1475
1349998,"Flask of Titanic Strength",85,"",106
1009946,"Deepstone Oil",81,"",60
489999,"Albino Cavefish",81,"",44
24999999,"Illusionary Bag",83,"",25
127400,"Bolt of Embersilk Cloth",81,"",4097
43538,"Volatile Earth",83,"",4188
739998,"Chaos Orb",85,"",18
2889993,"Embersilk Bag",83,"",52
100000,"Hypnotic Dust",81,"",4301
89900,"Netherweave Bag",63,"",143
24897,"Bolt of Netherweave",60,"",325
4213,"Rune Thread",50,"",312
1900000,"Frostweave Bag",80,"",58
346187,"Bolt of Imbued Frostweave",75,"",284
139000,"Bolt of Frostweave",70,"",65
47500,"Frostweave Cloth",70,"",8089
64065,"Infinite Dust",70,"",8580
29000,"Eternium Thread",70,"",271
8450000,"Glacial Bag",80,"",1
89999,"Moonshroud",80,"",78
550000,"Ebonweave",80,"",43
93794,"Mysterious Fortune Card",85,"",3458
49996,"Blackfallow Ink",81,"",305
