"Price","Name","Item Level","Owned?","Available"
60000,"Potion of the Jade Serpent",90,"",8303
185,"Crystal Vial",1,"",4092
17600,"Green Tea Leaf",85,"",7117
21099,"Silkweed",86,"",9732
42300,"Virmen's Bite",90,"",6646
18000,"Snow Lily",87,"",7246
694465,"Flask of the Warm Sun",90,"",2446
729797,"Golden Lotus",90,"",1482
700000,"Flask of Spring Blossoms",90,"",1127
2495766,"Greater Crane Wing Inscription",90,"",114
449900,"Starlight Ink",86,"",2027
43100,"Ink of Dreams",86,"",5523
277100,"Misty Pigment",86,"",20
29098,"Fool's Cap",88,"",1545
500,"Light Parchment",1,"",707
2494449,"Greater Tiger Claw Inscription",90,"",103
3000000,"Greater Cerulean Spellthread",90,"",21
99598,"Bolt of Windwool Cloth",90,"",1012
18500,"Windwool Cloth",86,"",3861
3000000,"Greater Pearlescent Spellthread",90,"",32
139900,"Glyph of Unstable Affliction",25,"",60
79999,"Ink of the Sea",70,"",92
35094,"Azure Pigment",70,"",1764
3419,"Goldclover",72,"",516
21000,"Tiger Lily",72,"",667
14297,"Talandra's Rose",72,"",442
29999,"Adder's Tongue",77,"",784
19999,"Lichbloom",80,"",648
85000,"Icethorn",80,"",376
99998,"Deadnettle",72,"",231
33815,"Fire Leaf",75,"",142
979898,"Glyph of Arcane Power",25,"",18
50000,"Ethereal Ink",60,"",9
20000,"Nether Pigment",60,"",260
3400,"Felweed",60,"",2499
3199,"Dreaming Glory",60,"",1915
7898,"Ragveil",65,"",268
2100,"Terocone",60,"",824
4299,"Ancient Lichen",68,"",224
91400,"Netherbloom",70,"",382
190000,"Nightmare Vine",70,"",689
7000,"Mana Thistle",70,"",539
149900,"Glyph of Animal Bond",25,"",71
199699,"Glyph of Deterrence",25,"",30
9500,"Violet Pigment",40,"",237
3455,"Firebloom",41,"",2000
19800,"Purple Lotus",42,"",369
499999,"Arthas' Tears",44,"",305
2999,"Sungrass",46,"",2986
7979,"Blindweed",47,"",587
110000,"Ghost Mushroom",47,"",386
29998,"Gromsblood",50,"",197
147993,"Glyph of Spinning Crane Kick",25,"",50
146833,"Glyph of Touch of Karma",25,"",42
146833,"Glyph of Zen Meditation",25,"",28
18799,"Jadefire Ink",30,"",9
378980,"Glyph of Penance",25,"",21
199699,"Glyph of Holy Fire",25,"",7
61060,"Midnight Ink",10,"",39
1999,"Dusky Pigment",10,"",91
900,"Mageroyal",10,"",4783
8700,"Briarthorn",15,"",329
4432,"Swiftthistle",15,"",293
400,"Bruiseweed",20,"",3737
5533,"Stranglekelp",20,"",1180
129498,"Glyph of Smite",25,"",48
138300,"Glyph of Savagery",25,"",44
28800,"Lion's Ink",20,"",45
59997,"Glyph of Shred",25,"",52
146833,"Glyph of Siphon Life",25,"",43
199898,"Glyph of Soulstone",25,"",109
538698,"Glyph of Rapid Displacement",25,"",35
48500,"Glyph of Arcane Explosion",25,"",21
92126,"Glyph of Cone of Cold",25,"",29
130000,"Glyph of Pathfinding",25,"",39
146833,"Glyph of Liberation",25,"",39
20000,"Glyph of Touch of Death",25,"",39
149096,"Glyph of Prayer of Mending",25,"",12
109900,"Glyph of Dash",25,"",27
88300,"Glyph of Healing Touch",25,"",19
80000,"Glyph of Rebirth",25,"",19
27496,"Cerulean Spellthread",90,"",27
40000,"Potion of Mogu Power",90,"",2153
727466,"Flask of Winter's Bite",90,"",703
2490035,"Greater Tiger Fang Inscription",90,"",88
720000,"Flask of the Earth",90,"",694
12000,"Rain Poppy",85,"",1469
73300,"Potion of the Mountains",90,"",1107
1289799,"Greater Ox Horn Inscription",90,"",74
4199992,"Living Steel",88,"",92
747775,"Trillium Bar",90,"",1371
92100,"Ghost Iron Bar",86,"",9874
4206969,"Primal Diamond",90,"",615
