"Price","Name","Item Level","Owned?","Available"
68981,"Potion of the Jade Serpent",90,"",4757
571,"Crystal Vial",1,"",5841
20000,"Green Tea Leaf",85,"",11025
39900,"Silkweed",86,"",6225
99997,"Virmen's Bite",90,"",2455
10000,"Snow Lily",87,"",1797
989889,"Flask of the Warm Sun",90,"",526
750000,"Golden Lotus",90,"",2111
719778,"Flask of Spring Blossoms",90,"",686
1299999,"Greater Crane Wing Inscription",90,"",50
449998,"Starlight Ink",86,"",2954
44000,"Ink of Dreams",86,"",2533
2299,"Light Parchment",1,"",242
1499900,"Greater Tiger Claw Inscription",90,"Yes",75
2349997,"Greater Cerulean Spellthread",90,"Yes",121
94989,"Bolt of Windwool Cloth",90,"",1240
19994,"Windwool Cloth",86,"",4845
2649998,"Greater Pearlescent Spellthread",90,"Yes",50
99700,"Glyph of Unstable Affliction",25,"",51
69997,"Ink of the Sea",70,"",314
69900,"Glyph of Arcane Power",25,"",13
69994,"Ethereal Ink",60,"",40
489685,"Glyph of Animal Bond",25,"Yes",52
299485,"Glyph of Deterrence",25,"Yes",50
43444,"Celestial Ink",40,"",227
429998,"Glyph of Spinning Crane Kick",25,"Yes",59
9900,"Glyph of Touch of Karma",25,"",46
164193,"Glyph of Zen Meditation",25,"",33
37543,"Jadefire Ink",30,"",119
387292,"Glyph of Penance",25,"Yes",66
146633,"Glyph of Holy Fire",25,"",21
10000,"Midnight Ink",10,"",201
498674,"Glyph of Smite",25,"Yes",50
399898,"Glyph of Savagery",25,"Yes",44
21000,"Lion's Ink",20,"",239
89792,"Glyph of Shred",25,"",59
509999,"Glyph of Siphon Life",25,"Yes",57
28996,"Glyph of Soulstone",25,"",53
648698,"Glyph of Rapid Displacement",25,"Yes",22
163397,"Glyph of Arcane Explosion",25,"",29
140618,"Glyph of Cone of Cold",25,"",29
999998,"Glyph of Pathfinding",25,"",10
119699,"Glyph of Liberation",25,"",43
19999,"Glyph of Touch of Death",25,"",37
158296,"Glyph of Prayer of Mending",25,"",15
169494,"Glyph of Dash",25,"",21
498876,"Glyph of Healing Touch",25,"Yes",39
78997,"Glyph of Rebirth",25,"",26
24400,"Cerulean Spellthread",90,"",23
27499,"Pearlescent Spellthread",90,"",16
56996,"Potion of Mogu Power",90,"",2185
26300,"Fool's Cap",88,"",4840
669999,"Flask of Winter's Bite",90,"",260
1449900,"Greater Tiger Fang Inscription",90,"Yes",107
750000,"Flask of the Earth",90,"",137
19100,"Rain Poppy",85,"",386
