"Price","Name","Item Level","Owned?","Available"
68271,"Potion of the Jade Serpent",90,"",4522
570,"Crystal Vial",1,"",6048
21382,"Green Tea Leaf",85,"",9856
38076,"Silkweed",86,"",6507
97296,"Virmen's Bite",90,"",2658
21394,"Snow Lily",87,"",1708
959997,"Flask of the Warm Sun",90,"",820
719996,"Golden Lotus",90,"",2668
719776,"Flask of Spring Blossoms",90,"",812
1249899,"Greater Crane Wing Inscription",90,"",121
449995,"Starlight Ink",86,"",3201
43118,"Ink of Dreams",86,"",2709
2299,"Light Parchment",1,"",128
1499699,"Greater Tiger Claw Inscription",90,"",123
2300000,"Greater Cerulean Spellthread",90,"",101
94897,"Bolt of Windwool Cloth",90,"",1158
14899,"Windwool Cloth",86,"",3643
2649996,"Greater Pearlescent Spellthread",90,"",40
99600,"Glyph of Unstable Affliction",25,"",78
69997,"Ink of the Sea",70,"",334
69899,"Glyph of Arcane Power",25,"",18
59900,"Ethereal Ink",60,"",118
489582,"Glyph of Animal Bond",25,"",53
299283,"Glyph of Deterrence",25,"",51
43444,"Celestial Ink",40,"",176
429797,"Glyph of Spinning Crane Kick",25,"",61
49999,"Glyph of Touch of Karma",25,"",43
163993,"Glyph of Zen Meditation",25,"",36
37543,"Jadefire Ink",30,"",119
387192,"Glyph of Penance",25,"",68
146433,"Glyph of Holy Fire",25,"",28
35000,"Midnight Ink",10,"",255
498472,"Glyph of Smite",25,"",61
399696,"Glyph of Savagery",25,"",60
21866,"Lion's Ink",20,"",203
89690,"Glyph of Shred",25,"",61
349999,"Glyph of Siphon Life",25,"",65
5000,"Glyph of Soulstone",25,"",58
648298,"Glyph of Rapid Displacement",25,"",36
163196,"Glyph of Arcane Explosion",25,"",36
130417,"Glyph of Cone of Cold",25,"",39
250000,"Glyph of Pathfinding",25,"",51
119598,"Glyph of Liberation",25,"",53
146833,"Glyph of Touch of Death",25,"",40
158095,"Glyph of Prayer of Mending",25,"",19
169293,"Glyph of Dash",25,"",29
498674,"Glyph of Healing Touch",25,"",41
78898,"Glyph of Rebirth",25,"",30
23500,"Cerulean Spellthread",90,"",31
27499,"Pearlescent Spellthread",90,"",17
39597,"Potion of Mogu Power",90,"",3113
20010,"Fool's Cap",88,"",5227
649998,"Flask of Winter's Bite",90,"",262
1449699,"Greater Tiger Fang Inscription",90,"",147
749997,"Flask of the Earth",90,"",347
20493,"Rain Poppy",85,"",745
52198,"Potion of the Mountains",90,"",1052
1665994,"Greater Ox Horn Inscription",90,"",108
4199998,"Living Steel",88,"",340
748994,"Trillium Bar",90,"",1676
87800,"Ghost Iron Bar",86,"",4502
4400000,"Primal Diamond",90,"",516
699799,"Wild Jade",90,"",302
919984,"Vermilion Onyx",90,"",65
549996,"Imperial Amethyst",90,"",186
661399,"Primordial Ruby",90,"",154
59898,"Pandarian Garnet",87,"",1357
199995,"Tiger Opal",87,"",603
48895,"Roguestone",87,"",2292
327747,"River's Heart",90,"",225
8794,"Lapis Lazuli",87,"",458
699998,"Sun's Radiance",90,"",60
94998,"Sunstone",87,"",1600
58895,"Alexandrite",87,"",902
739996,"Great Pandaren Banquet",90,"",232
1152118,"100 Year Soy Sauce",85,"",528
93600,"Jewel Danio",87,"",6513
199998,"Raw Tiger Steak",85,"",698
47295,"Pink Turnip",85,"",3305
425299,"Black Pepper Ribs and Shrimp",90,"",2130
299997,"Chun Tian Spring Rolls",90,"",498
400000,"Mogu Fish Stew",90,"",3666
199995,"Steamed Crab Surprise",90,"",102
482886,"Sea Mist Rice Noodles",90,"",2322
167897,"Mad Brewer's Breakfast",90,"",185
699894,"Pandaren Banquet",90,"",416
1409899,"Black Pepper",85,"",566
164900,"Emperor Salmon",87,"",2717
123593,"Raw Crocolisk Belly",85,"",2471
44142,"Mogu Pumpkin",85,"",9897
1405492,"Rice Flour",85,"",458
126880,"Tiger Gourami",87,"",1521
99999,"Raw Turtle Meat",85,"",227
32097,"Scallions",85,"",6305
130000,"Giant Mantis Shrimp",87,"",3177
109996,"Mushan Ribs",85,"",2221
33300,"Green Cabbage",85,"",4212
89998,"Raw Crab Meat",85,"",652
30000,"White Turnip",85,"",5789
58800,"Redbelly Mandarin",87,"",814
31395,"Red Blossom Leek",85,"",1062
434999994,"Vial of the Sands",85,"",9
2100000,"Truegold",85,"",153
80000,"Pyrium Bar",85,"",490
29999,"Volatile Fire",83,"",3552
48000,"Volatile Air",83,"",4148
35999,"Volatile Water",83,"",3763
2499999,"Flask of the Winds",85,"",28
21100,"Whiptail",84,"",1612
111800,"Azshara's Veil",82,"",391
77776,"Volatile Life",83,"",1787
1050000,"Flask of Titanic Strength",85,"",108
21299,"Cinderbloom",81,"",2858
878787,"Deepstone Oil",81,"",335
450000,"Albino Cavefish",81,"",179
22429999,"Illusionary Bag",83,"",27
60000,"Bolt of Embersilk Cloth",81,"",769
11867,"Volatile Earth",83,"",6322
499998,"Chaos Orb",85,"",323
4028998,"Embersilk Bag",83,"",328
125354,"Hypnotic Dust",81,"",3792
94100,"Netherweave Bag",63,"",675
60999,"Bolt of Netherweave",60,"",886
9700,"Rune Thread",50,"",938
1889595,"Frostweave Bag",80,"",112
397400,"Bolt of Imbued Frostweave",75,"",418
89999,"Bolt of Frostweave",70,"",337
16000,"Frostweave Cloth",70,"",24561
57298,"Infinite Dust",70,"",6774
26500,"Eternium Thread",70,"",182
238792,"Moonshroud",80,"",94
408999,"Ebonweave",80,"",12
149999,"Mysterious Fortune Card",85,"",476
38199,"Blackfallow Ink",81,"",4163
